serp_id,requested_at,search_query,id,link,visible_link,rank,image_path,image_hash
5805,2016-09-23 18:28:22,hillary clinton,89984,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=l1bOsnffsqudkM%253A%253Baa-QNjwhVwqTsM%253Bhttps%25253A%25252F%25252Fen.wikipedia.org%25252Fwiki%25252FHillary_Clinton&source=iu&pf=m&fir=l1bOsnffsqudkM%253A%252Caa-QNjwhVwqTsM%252C_&usg=__YulZmYqEL0j6l6DSYgreZ7JhP1M%3D,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/5805/5805_26_hillary_clinton_2.jpg,764fce5e4be6b6d2
5805,2016-09-23 18:28:22,hillary clinton,89985,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=4sg6lzUJ9CYYcM%253A%253BJ7gOtOCZoV9pyM%253Bhttp%25253A%25252F%25252Fwww.biography.com%25252Fpeople%25252Fhillary-clinton-9251306&source=iu&pf=m&fir=4sg6lzUJ9CYYcM%253A%252CJ7gOtOCZoV9pyM%252C_&usg=__Kfn7qT_gfBiz1DDDAxACEwGUiBY%3D,http://www.biography.com/people/hillary-clinton-9251306,3,./images/5805/5805_27_hillary_clinton_3.jpg,decfc7c7cec6cecc
5805,2016-09-23 18:28:22,hillary clinton,89986,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=V5Ws_loMXw__aM%253A%253BG1MJMVh1puHt9M%253Bhttp%25253A%25252F%25252Frussia-insider.com%25252Fen%25252Fnode%25252F15518&source=iu&pf=m&fir=V5Ws_loMXw__aM%253A%252CG1MJMVh1puHt9M%252C_&usg=__vXwcgxFTdAYtYVq65mFHoxeWCKE%3D,http://russia-insider.com/en/node/15518,4,./images/5805/5805_28_hillary_clinton_4.jpg,2f1e0e0e1f1b1b9b
5805,2016-09-23 18:28:22,hillary clinton,89987,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=pWHvVC4jb-UK8M%253A%253BN5BNSGs9UXNBlM%253Bhttps%25253A%25252F%25252Fwww.youtube.com%25252Fwatch%25253Fv%2525253D-dY77j6uBHI&source=iu&pf=m&fir=pWHvVC4jb-UK8M%253A%252CN5BNSGs9UXNBlM%252C_&usg=__DkkHpjrdnAjSLdpB7NWaXDCr1wU%3D,https://www.youtube.com/watch?v=-dY77j6uBHI,5,./images/5805/5805_29_hillary_clinton_5.jpg,983d7d1c3c1c1c6f
5805,2016-09-23 18:28:22,hillary clinton,89988,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=DmiLUiijRXjp4M%253A%253BUsNL7IQ4VDTIIM%253Bhttp%25253A%25252F%25252Fwww.politico.com%25252Fstory%25252F2016%25252F01%25252Fclinton-obama-supreme-court-218259&source=iu&pf=m&fir=DmiLUiijRXjp4M%253A%252CUsNL7IQ4VDTIIM%252C_&usg=__Upbfbuei_mmgRdvP6J6dXc9H4M4%3D,http://www.politico.com/story/2016/01/clinton-obama-supreme-court-218259,6,./images/5805/5805_30_hillary_clinton_6.jpg,27464666644d5434
5877,2016-09-24 18:28:22,hillary clinton,91461,/imgres?imgurl=https://lh4.googleusercontent.com/-eXKU4UhFusI/AAAAAAAAAAI/AAAAAAAAATA/1QahWqsqd-I/s0-c-k-no-ns/photo.jpg&imgrefurl=https://plus.google.com/u/0/100418579567144177985&h=1198&w=1200&tbnid=nzJ4iIyOn0P1dM:&tbnh=186&tbnw=186&docid=3KKANlO3h06JbM&itg=1&usg=__a4BrdtGQmqwg2FftrRcOkBCh6gU=,https://plus.google.com/100418579567144177985,1,./images/5877/5877_26_hillary_clinton_1.jpg,861e1f37179f0e8c
5877,2016-09-24 18:28:22,hillary clinton,91462,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=l1bOsnffsqudkM%253A%253Baa-QNjwhVwqTsM%253Bhttps%25253A%25252F%25252Fen.wikipedia.org%25252Fwiki%25252FHillary_Clinton&source=iu&pf=m&fir=l1bOsnffsqudkM%253A%252Caa-QNjwhVwqTsM%252C_&usg=__YulZmYqEL0j6l6DSYgreZ7JhP1M%3D,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/5877/5877_27_hillary_clinton_2.jpg,764fce5e4be6b6d2
5877,2016-09-24 18:28:22,hillary clinton,91463,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=4sg6lzUJ9CYYcM%253A%253BJ7gOtOCZoV9pyM%253Bhttp%25253A%25252F%25252Fwww.biography.com%25252Fpeople%25252Fhillary-clinton-9251306&source=iu&pf=m&fir=4sg6lzUJ9CYYcM%253A%252CJ7gOtOCZoV9pyM%252C_&usg=__Kfn7qT_gfBiz1DDDAxACEwGUiBY%3D,http://www.biography.com/people/hillary-clinton-9251306,3,./images/5877/5877_28_hillary_clinton_3.jpg,decfc7c7cec6cecc
5877,2016-09-24 18:28:22,hillary clinton,91464,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=V5Ws_loMXw__aM%253A%253BG1MJMVh1puHt9M%253Bhttp%25253A%25252F%25252Frussia-insider.com%25252Fen%25252Fnode%25252F15518&source=iu&pf=m&fir=V5Ws_loMXw__aM%253A%252CG1MJMVh1puHt9M%252C_&usg=__vXwcgxFTdAYtYVq65mFHoxeWCKE%3D,http://russia-insider.com/en/node/15518,4,./images/5877/5877_29_hillary_clinton_4.jpg,2f1e0e0e1f1b1b9b
5877,2016-09-24 18:28:22,hillary clinton,91465,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=9B_kD-B9a0WaKM%253A%253B9iPGjgkACxIzvM%253Bhttp%25253A%25252F%25252Fwww.cnn.com%25252Felection%25252Fprimaries%25252Fcandidates%25252Fhillary-clinton&source=iu&pf=m&fir=9B_kD-B9a0WaKM%253A%252C9iPGjgkACxIzvM%252C_&usg=__40AWlQh7TIjbSV4E2_lYak2K-TY%3D,http://www.cnn.com/election/primaries/candidates/hillary-clinton,5,./images/5877/5877_30_hillary_clinton_5.jpg,96970f0706064e86
5877,2016-09-24 18:28:22,hillary clinton,91466,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=DmiLUiijRXjp4M%253A%253BUsNL7IQ4VDTIIM%253Bhttp%25253A%25252F%25252Fwww.politico.com%25252Fstory%25252F2016%25252F01%25252Fclinton-obama-supreme-court-218259&source=iu&pf=m&fir=DmiLUiijRXjp4M%253A%252CUsNL7IQ4VDTIIM%252C_&usg=__Upbfbuei_mmgRdvP6J6dXc9H4M4%3D,http://www.politico.com/story/2016/01/clinton-obama-supreme-court-218259,6,./images/5877/5877_31_hillary_clinton_6.jpg,27464666644d5434
5949,2016-09-25 18:28:22,hillary clinton,92881,/imgres?imgurl=https://lh4.googleusercontent.com/-eXKU4UhFusI/AAAAAAAAAAI/AAAAAAAAATA/1QahWqsqd-I/s0-c-k-no-ns/photo.jpg&imgrefurl=https://plus.google.com/u/0/100418579567144177985&h=1198&w=1200&tbnid=nzJ4iIyOn0P1dM:&tbnh=186&tbnw=186&docid=3KKANlO3h06JbM&itg=1&usg=__a4BrdtGQmqwg2FftrRcOkBCh6gU=,https://plus.google.com/100418579567144177985,1,./images/5949/5949_27_hillary_clinton_1.jpg,861e1f37179f0e8c
5949,2016-09-25 18:28:22,hillary clinton,92882,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=l1bOsnffsqudkM%253A%253Baa-QNjwhVwqTsM%253Bhttps%25253A%25252F%25252Fen.wikipedia.org%25252Fwiki%25252FHillary_Clinton&source=iu&pf=m&fir=l1bOsnffsqudkM%253A%252Caa-QNjwhVwqTsM%252C_&usg=__YulZmYqEL0j6l6DSYgreZ7JhP1M%3D,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/5949/5949_28_hillary_clinton_2.jpg,764fce5e4be6b6d2
5949,2016-09-25 18:28:22,hillary clinton,92883,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=4sg6lzUJ9CYYcM%253A%253BJ7gOtOCZoV9pyM%253Bhttp%25253A%25252F%25252Fwww.biography.com%25252Fpeople%25252Fhillary-clinton-9251306&source=iu&pf=m&fir=4sg6lzUJ9CYYcM%253A%252CJ7gOtOCZoV9pyM%252C_&usg=__Kfn7qT_gfBiz1DDDAxACEwGUiBY%3D,http://www.biography.com/people/hillary-clinton-9251306,3,./images/5949/5949_29_hillary_clinton_3.jpg,decfc7c7cec6cecc
5949,2016-09-25 18:28:22,hillary clinton,92884,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=V5Ws_loMXw__aM%253A%253BG1MJMVh1puHt9M%253Bhttp%25253A%25252F%25252Frussia-insider.com%25252Fen%25252Fnode%25252F15518&source=iu&pf=m&fir=V5Ws_loMXw__aM%253A%252CG1MJMVh1puHt9M%252C_&usg=__vXwcgxFTdAYtYVq65mFHoxeWCKE%3D,http://russia-insider.com/en/node/15518,4,./images/5949/5949_30_hillary_clinton_4.jpg,2f1e0e0e1f1b1b9b
5949,2016-09-25 18:28:22,hillary clinton,92885,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=9B_kD-B9a0WaKM%253A%253B9iPGjgkACxIzvM%253Bhttp%25253A%25252F%25252Fwww.cnn.com%25252Felection%25252Fprimaries%25252Fcandidates%25252Fhillary-clinton&source=iu&pf=m&fir=9B_kD-B9a0WaKM%253A%252C9iPGjgkACxIzvM%252C_&usg=__40AWlQh7TIjbSV4E2_lYak2K-TY%3D,http://www.cnn.com/election/primaries/candidates/hillary-clinton,5,./images/5949/5949_31_hillary_clinton_5.jpg,96970f0706064e86
5949,2016-09-25 18:28:22,hillary clinton,92886,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=DmiLUiijRXjp4M%253A%253BUsNL7IQ4VDTIIM%253Bhttp%25253A%25252F%25252Fwww.politico.com%25252Fstory%25252F2016%25252F01%25252Fclinton-obama-supreme-court-218259&source=iu&pf=m&fir=DmiLUiijRXjp4M%253A%252CUsNL7IQ4VDTIIM%252C_&usg=__Upbfbuei_mmgRdvP6J6dXc9H4M4%3D,http://www.politico.com/story/2016/01/clinton-obama-supreme-court-218259,6,./images/5949/5949_32_hillary_clinton_6.jpg,27464666644d5434
6021,2016-09-26 18:28:22,hillary clinton,94312,/imgres?imgurl=https://lh4.googleusercontent.com/-eXKU4UhFusI/AAAAAAAAAAI/AAAAAAAAATA/1QahWqsqd-I/s0-c-k-no-ns/photo.jpg&imgrefurl=https://plus.google.com/u/0/100418579567144177985&h=1198&w=1200&tbnid=nzJ4iIyOn0P1dM:&tbnh=186&tbnw=186&docid=3KKANlO3h06JbM&itg=1&usg=__a4BrdtGQmqwg2FftrRcOkBCh6gU=,https://plus.google.com/100418579567144177985,1,./images/6021/6021_25_hillary_clinton_1.jpg,861e1f37179f0e8c
6021,2016-09-26 18:28:22,hillary clinton,94313,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=l1bOsnffsqudkM%253A%253Baa-QNjwhVwqTsM%253Bhttps%25253A%25252F%25252Fen.wikipedia.org%25252Fwiki%25252FHillary_Clinton&source=iu&pf=m&fir=l1bOsnffsqudkM%253A%252Caa-QNjwhVwqTsM%252C_&usg=__YulZmYqEL0j6l6DSYgreZ7JhP1M%3D,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/6021/6021_26_hillary_clinton_2.jpg,764fce5e4be6b6d2
6021,2016-09-26 18:28:22,hillary clinton,94314,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=4sg6lzUJ9CYYcM%253A%253BJ7gOtOCZoV9pyM%253Bhttp%25253A%25252F%25252Fwww.biography.com%25252Fpeople%25252Fhillary-clinton-9251306&source=iu&pf=m&fir=4sg6lzUJ9CYYcM%253A%252CJ7gOtOCZoV9pyM%252C_&usg=__Kfn7qT_gfBiz1DDDAxACEwGUiBY%3D,http://www.biography.com/people/hillary-clinton-9251306,3,./images/6021/6021_27_hillary_clinton_3.jpg,decfc7c7cec6cecc
